transaction_id,customer_id,segment,customer_age_days,lifetime_successful_txns,lifetime_failed_txns,risk_score,amount,failure_type,payment_method,attempt_number,is_subscription,contact_fatigue_score,action,true_prob_HIDDEN,outcome,failure_action,segment_action,event_type,split
2131,1187,b2c_new,162,4,0,0.0995,2670.21,temporary_bank_decline,netbanking,2,False,0.3,discount,0.1647,0,temporary_bank_decline__discount,b2c_new__discount,repeated_payment_failure,train
2131,1187,b2c_new,162,4,0,0.0995,2670.21,temporary_bank_decline,netbanking,2,False,0.3,wait,0.2017,0,temporary_bank_decline__wait,b2c_new__wait,repeated_payment_failure,train
2131,1187,b2c_new,162,4,0,0.0995,2670.21,temporary_bank_decline,netbanking,2,False,0.3,close,0.123,0,temporary_bank_decline__close,b2c_new__close,repeated_payment_failure,train
2131,1187,b2c_new,162,4,0,0.0995,2670.21,temporary_bank_decline,netbanking,2,False,0.3,retry,0.2864,0,temporary_bank_decline__retry,b2c_new__retry,repeated_payment_failure,train
2131,1187,b2c_new,162,4,0,0.0995,2670.21,temporary_bank_decline,netbanking,2,False,0.3,reminder,0.1345,0,temporary_bank_decline__reminder,b2c_new__reminder,repeated_payment_failure,train
2131,1187,b2c_new,162,4,0,0.0995,2670.21,temporary_bank_decline,netbanking,2,False,0.3,payment_link,0.2097,0,temporary_bank_decline__payment_link,b2c_new__payment_link,repeated_payment_failure,train
9212,1080,b2c_new,25,3,1,0.2065,5087.76,subscription_mandate_fail,upi,3,True,0.6,discount,0.093,0,subscription_mandate_fail__discount,b2c_new__discount,subscription_mandate_failure,train
9212,1080,b2c_new,25,3,1,0.2065,5087.76,subscription_mandate_fail,upi,3,True,0.6,wait,0.0461,0,subscription_mandate_fail__wait,b2c_new__wait,subscription_mandate_failure,train
9212,1080,b2c_new,25,3,1,0.2065,5087.76,subscription_mandate_fail,upi,3,True,0.6,close,0.0077,0,subscription_mandate_fail__close,b2c_new__close,subscription_mandate_failure,train
9212,1080,b2c_new,25,3,1,0.2065,5087.76,subscription_mandate_fail,upi,3,True,0.6,reminder,0.0199,0,subscription_mandate_fail__reminder,b2c_new__reminder,subscription_mandate_failure,train
9212,1080,b2c_new,25,3,1,0.2065,5087.76,subscription_mandate_fail,upi,3,True,0.6,payment_link,0.0587,0,subscription_mandate_fail__payment_link,b2c_new__payment_link,subscription_mandate_failure,train
9338,2010,b2c_returning,196,3,2,0.1072,1382.58,risk_block,netbanking,2,False,0.3,close,0.0021,0,risk_block__close,b2c_returning__close,temporary_payment_failure,train
9338,2010,b2c_returning,196,3,2,0.1072,1382.58,risk_block,netbanking,2,False,0.3,wait,0.0091,0,risk_block__wait,b2c_returning__wait,temporary_payment_failure,train
7543,805,b2c_new,3418,52,24,0.1001,991.65,customer_abandoned,wallet,1,False,0.0,discount,0.1539,0,customer_abandoned__discount,b2c_new__discount,checkout_abandonment,train
7543,805,b2c_new,3418,52,24,0.1001,991.65,customer_abandoned,wallet,1,False,0.0,wait,0.0758,0,customer_abandoned__wait,b2c_new__wait,checkout_abandonment,train
7543,805,b2c_new,3418,52,24,0.1001,991.65,customer_abandoned,wallet,1,False,0.0,close,0.0919,0,customer_abandoned__close,b2c_new__close,checkout_abandonment,train
7543,805,b2c_new,3418,52,24,0.1001,991.65,customer_abandoned,wallet,1,False,0.0,reminder,0.0808,0,customer_abandoned__reminder,b2c_new__reminder,checkout_abandonment,train
7543,805,b2c_new,3418,52,24,0.1001,991.65,customer_abandoned,wallet,1,False,0.0,payment_link,0.257,1,customer_abandoned__payment_link,b2c_new__payment_link,checkout_abandonment,train
5705,753,b2c_new,467,6,0,0.1835,2830.33,network_timeout,card,2,False,0.3,wait,0.6156,1,network_timeout__wait,b2c_new__wait,repeated_payment_failure,val
5705,753,b2c_new,467,6,0,0.1835,2830.33,network_timeout,card,2,False,0.3,close,0.1675,1,network_timeout__close,b2c_new__close,repeated_payment_failure,val
5705,753,b2c_new,467,6,0,0.1835,2830.33,network_timeout,card,2,False,0.3,retry,0.2468,0,network_timeout__retry,b2c_new__retry,repeated_payment_failure,val
