customer_id,segment,customer_age_days,lifetime_successful_txns,lifetime_failed_txns,avg_transaction_value,risk_score,preferred_channel,contact_fatigue_score
1,b2c_returning,203,3,0,622.47,0.3031,email,0.0
2,b2c_new,543,9,1,2476.36,0.2396,sms,0.0
3,b2c_returning,181,1,0,977.62,0.0702,email,0.0
4,b2c_returning,162,2,0,1028.59,0.0278,email,0.0
5,b2c_new,469,9,1,3657.25,0.143,email,0.0
6,b2b,74,4,1,52415.81,0.1567,email,0.0
7,b2c_returning,2266,49,14,1326.64,0.2753,whatsapp,0.0
8,b2c_returning,252,4,0,1510.93,0.0396,none,0.0
9,b2c_new,253,9,3,1576.48,0.0201,none,0.0
10,b2c_new,288,4,0,2907.35,0.5616,whatsapp,0.0
11,b2c_new,974,18,7,771.66,0.2719,whatsapp,0.0
12,b2b,367,10,2,34757.61,0.4073,email,0.0
13,b2c_returning,42,3,1,4061.07,0.28,sms,0.0
14,b2c_returning,636,10,1,8010.18,0.0716,whatsapp,0.0
15,b2c_new,132,5,2,696.38,0.2297,none,0.0
16,b2c_new,198,3,1,2269.34,0.3832,sms,0.0
17,b2c_returning,56,1,0,1575.71,0.41,whatsapp,0.0
18,b2c_new,289,3,1,1679.73,0.0511,none,0.0
19,b2c_returning,100,2,0,1035.7,0.2209,whatsapp,0.0
20,b2c_returning,196,4,0,3055.21,0.1235,whatsapp,0.0
21,b2c_returning,139,1,0,2947.43,0.0188,none,0.0
22,b2c_new,1017,19,6,10525.49,0.2424,whatsapp,0.0
23,b2b,1071,18,6,28166.88,0.1041,email,0.0
24,b2c_returning,187,6,2,529.54,0.5125,none,0.0
25,b2c_returning,190,5,2,7584.44,0.1682,whatsapp,0.0
26,b2c_new,128,4,0,1735.79,0.2683,email,0.0
27,b2c_new,487,7,2,1307.38,0.2335,none,0.0
28,b2c_new,133,5,2,2053.52,0.0531,email,0.0
29,b2c_new,123,3,0,678.0,0.2256,none,0.0
30,b2c_returning,434,6,0,2341.73,0.3867,whatsapp,0.0
31,b2c_returning,110,1,0,1701.66,0.279,email,0.0
32,b2b,173,3,0,56711.91,0.0635,whatsapp,0.0
33,b2c_new,43,0,0,3279.52,0.3156,email,0.0
34,b2c_new,339,13,2,3476.48,0.2542,none,0.0
35,b2c_new,1032,27,10,2057.25,0.1722,whatsapp,0.0
36,b2c_new,344,9,6,5533.55,0.1149,sms,0.0
37,b2c_new,670,15,6,2694.37,0.3093,none,0.0
38,b2c_new,84,1,0,1239.37,0.0888,email,0.0
39,b2c_new,222,6,1,1021.56,0.4219,sms,0.0
40,b2c_returning,77,1,0,1105.41,0.2779,whatsapp,0.0
41,b2c_new,146,6,3,2718.19,0.0326,email,0.0
42,b2c_returning,360,7,1,708.68,0.229,email,0.0
