transaction_id,failure_type,segment,risk_score,amount,attempt_number,payment_method,action,predicted_prob
2839,card_expired,b2c_returning,0.168,1618.6,1,wallet,close,0.0122
2839,card_expired,b2c_returning,0.168,1618.6,1,wallet,discount,0.0404
2839,card_expired,b2c_returning,0.168,1618.6,1,wallet,payment_link,0.0793
2839,card_expired,b2c_returning,0.168,1618.6,1,wallet,reminder,0.0227
2839,card_expired,b2c_returning,0.168,1618.6,1,wallet,wait,0.0169
6978,subscription_mandate_fail,b2c_returning,0.3018,1865.73,1,upi,close,0.0327
6978,subscription_mandate_fail,b2c_returning,0.3018,1865.73,1,upi,discount,0.0732
6978,subscription_mandate_fail,b2c_returning,0.3018,1865.73,1,upi,payment_link,0.1249
6978,subscription_mandate_fail,b2c_returning,0.3018,1865.73,1,upi,reminder,0.0503
6978,subscription_mandate_fail,b2c_returning,0.3018,1865.73,1,upi,wait,0.0305
6084,temporary_bank_decline,b2c_returning,0.2904,1895.99,2,card,close,0.1529
6084,temporary_bank_decline,b2c_returning,0.2904,1895.99,2,card,discount,0.315
6084,temporary_bank_decline,b2c_returning,0.2904,1895.99,2,card,payment_link,0.2506
6084,temporary_bank_decline,b2c_returning,0.2904,1895.99,2,card,reminder,0.2238
6084,temporary_bank_decline,b2c_returning,0.2904,1895.99,2,card,retry,0.2842
6084,temporary_bank_decline,b2c_returning,0.2904,1895.99,2,card,wait,0.2093
9536,network_timeout,b2c_returning,0.0697,654.56,1,card,close,0.2921
9536,network_timeout,b2c_returning,0.0697,654.56,1,card,payment_link,0.4417
9536,network_timeout,b2c_returning,0.0697,654.56,1,card,reminder,0.3853
9536,network_timeout,b2c_returning,0.0697,654.56,1,card,retry,0.4887
9536,network_timeout,b2c_returning,0.0697,654.56,1,card,wait,0.3505
6667,customer_abandoned,b2c_new,0.1436,1823.35,1,upi,close,0.034
6667,customer_abandoned,b2c_new,0.1436,1823.35,1,upi,discount,0.131
6667,customer_abandoned,b2c_new,0.1436,1823.35,1,upi,payment_link,0.0787
6667,customer_abandoned,b2c_new,0.1436,1823.35,1,upi,reminder,0.0526
6667,customer_abandoned,b2c_new,0.1436,1823.35,1,upi,wait,0.0507
9748,risk_block,b2c_returning,0.4916,2600.04,3,card,close,0.0025
9748,risk_block,b2c_returning,0.4916,2600.04,3,card,wait,0.0033
