feature,coefficient,abs_coefficient
failure_type_risk_block,-1.7281592520176956,1.7281592520176956
failure_type_network_timeout,1.420611793259824,1.420611793259824
failure_type_temporary_bank_decline,0.9813362928370422,0.9813362928370422
failure_action_risk_block__close,-0.8711467570122207,0.8711467570122207
failure_action_risk_block__wait,-0.8570124950054702,0.8570124950054702
action_close,-0.8414786402087273,0.8414786402087273
failure_type_card_expired,-0.7610009414628947,0.7610009414628947
segment_action_b2b__close,-0.559831673224796,0.559831673224796
action_wait,-0.5054485436834713,0.5054485436834713
segment_b2b,-0.48363548240819443,0.48363548240819443
failure_type_subscription_mandate_fail,-0.4796224874647148,0.4796224874647148
failure_action_card_expired__payment_link,0.4460233993105254,0.4460233993105254
segment_b2c_returning,-0.43145466256083936,0.43145466256083936
failure_action_card_expired__close,-0.4311223635341823,0.4311223635341823
failure_type_customer_abandoned,-0.4277793568183384,0.4277793568183384
failure_action_network_timeout__wait,0.4243680155562638,0.4243680155562638
segment_b2c_new,-0.40595271891788826,0.40595271891788826
failure_action_network_timeout__close,0.400861028513122,0.400861028513122
failure_action_subscription_mandate_fail__wait,-0.3959805476136051,0.3959805476136051
failure_action_temporary_bank_decline__wait,0.3857223876996552,0.3857223876996552
payment_method_upi,-0.37748014205761055,0.37748014205761055
payment_method_netbanking,-0.3728879609926968,0.3728879609926968
failure_action_customer_abandoned__payment_link,-0.3629084718342271,0.3629084718342271
failure_action_card_expired__wait,-0.3411704226415164,0.3411704226415164
log1p_amount,-0.33510890631196794,0.33510890631196794
payment_method_card,-0.3305744526908222,0.3305744526908222
failure_action_insufficient_funds__retry,-0.33008546412624745,0.33008546412624745
failure_type_insufficient_funds,-0.32642891222013315,0.32642891222013315
failure_action_network_timeout__reminder,0.3188912655284182,0.3188912655284182
log1p_lifetime_successful_txns,0.29918751358536566,0.29918751358536566
failure_action_card_expired__reminder,-0.29664595740337935,0.29664595740337935
failure_action_subscription_mandate_fail__payment_link,0.29439343386911054,0.29439343386911054
failure_action_network_timeout__retry,0.29102215222294603,0.29102215222294603
segment_action_b2c_new__wait,-0.27435903019746677,0.27435903019746677
segment_action_b2c_new__discount,0.2709116114033735,0.2709116114033735
segment_action_b2b__discount,-0.2494291782274052,0.2494291782274052
failure_action_temporary_bank_decline__close,0.2479748059240906,0.2479748059240906
failure_action_temporary_bank_decline__discount,0.24761617885099596,0.24761617885099596
failure_action_customer_abandoned__reminder,-0.24130465127081446,0.24130465127081446
payment_method_wallet,-0.2401003081457857,0.2401003081457857
segment_action_b2b__reminder,0.23475871295443565,0.23475871295443565
segment_action_b2c_returning__reminder,-0.22334376579998624,0.22334376579998624
failure_action_temporary_bank_decline__reminder,0.21592021684960805,0.21592021684960805
segment_action_b2c_new__close,-0.2151097749542105,0.2151097749542105
failure_action_temporary_bank_decline__payment_link,-0.2022065307447723,0.2022065307447723
segment_action_b2c_new__reminder,-0.1962580235931207,0.1962580235931207
action_reminder,-0.18484307643866885,0.18484307643866885
failure_action_subscription_mandate_fail__discount,-0.16650448591668837,0.16650448591668837
failure_action_insufficient_funds__wait,0.16097241216098024,0.16097241216098024
segment_action_b2c_returning__wait,-0.15799406148013578,0.15799406148013578
risk_score,-0.141153746022755,0.141153746022755
action_payment_link,0.13905665745142837,0.13905665745142837
failure_action_card_expired__discount,-0.13808559719434463,0.13808559719434463
failure_action_subscription_mandate_fail__reminder,-0.13072314715700295,0.13072314715700295
failure_action_customer_abandoned__wait,0.1176521061602328,0.1176521061602328
contact_fatigue_score,-0.09078867662316234,0.09078867662316234
attempt_number,-0.09078867662316172,0.09078867662316172
segment_action_b2b__payment_link,0.08752230629256097,0.08752230629256097
failure_action_temporary_bank_decline__retry,0.08630923425748163,0.08630923425748163
failure_action_insufficient_funds__close,-0.08462055268108744,0.08462055268108744
failure_action_customer_abandoned__discount,0.08139872089837412,0.08139872089837412
failure_action_subscription_mandate_fail__close,-0.08080774064653046,0.08080774064653046
segment_action_b2b__retry,0.07643980180286851,0.07643980180286851
segment_action_b2b__wait,-0.073095452005857,0.073095452005857
segment_action_b2c_returning__close,-0.06653719202970436,0.06653719202970436
failure_action_insufficient_funds__reminder,-0.05098080298549684,0.05098080298549684
action_retry,0.047245922354178405,0.047245922354178405
segment_action_b2c_new__payment_link,0.03234130022228362,0.03234130022228362
log1p_lifetime_failed_txns,-0.024763804702919372,0.024763804702919372
action_discount,0.024424816638337406,0.024424816638337406
segment_action_b2c_new__retry,-0.023478801798726516,0.023478801798726516
failure_action_customer_abandoned__close,-0.02261706077190262,0.02261706077190262
failure_action_insufficient_funds__payment_link,-0.021714504588282595,0.021714504588282595
segment_action_b2c_returning__payment_link,0.019193050936583175,0.019193050936583175
failure_action_network_timeout__payment_link,-0.014530668560924945,0.014530668560924945
segment_action_b2c_returning__retry,-0.005715077649962994,0.005715077649962994
segment_action_b2c_returning__discount,0.002942383462370291,0.002942383462370291
