pair,a,b,a_gt_b_count,b_gt_a_count,tie_count,distinct_orderings,min_abs_diff,median_abs_diff,max_abs_diff
retry_vs_payment_link,retry,payment_link,980,455,0,2,0.0006593342099032468,0.030420798939619714,0.09556464004529894
retry_vs_reminder,retry,reminder,1387,48,0,2,0.00043313318190212405,0.04481746624625083,0.1050694171486154
retry_vs_discount,retry,discount,550,885,0,2,0.0001265164724984849,0.022617460102989595,0.14518679872824852
retry_vs_wait,retry,wait,1435,0,0,1,0.0024406857002784825,0.062103029079249805,0.1659650394306742
retry_vs_close,retry,close,1435,0,0,1,0.005564527826061561,0.09539559346105808,0.274665932971775
payment_link_vs_reminder,payment_link,reminder,1365,70,0,2,0.0007692639905598885,0.030503670037501707,0.17571551300476043
payment_link_vs_discount,payment_link,discount,560,875,0,2,7.921626776166008e-05,0.03567981225369995,0.1424645574852953
payment_link_vs_wait,payment_link,wait,1435,0,0,1,0.003992881325852911,0.05320479306571391,0.23236891159687717
payment_link_vs_close,payment_link,close,1435,0,0,1,0.006223862035964808,0.09271019078972725,0.22593956359861866
reminder_vs_discount,reminder,discount,114,1321,0,2,0.0006652305941194387,0.06119283747028876,0.17520082153923477
reminder_vs_wait,reminder,wait,1358,77,0,2,0.0007023650413879833,0.016687975537007023,0.11936782397247675
reminder_vs_close,reminder,close,1435,0,0,1,0.00328783246227235,0.05416024539297498,0.26346072704502166
discount_vs_wait,discount,wait,1407,28,0,2,0.002204886180245195,0.0668371097294724,0.23004954024022756
discount_vs_close,discount,close,1435,0,0,1,0.0037690637417563313,0.10365307859404208,0.32194246122552334
wait_vs_close,wait,close,1348,87,0,2,0.00043642705282246307,0.03560738648320974,0.14409290307254494
