decile,amount_min,amount_max,n,mean_predicted,realized_rate,signed_gap,se,ci_low,ci_high,ci_excludes_zero
0,150.05,39317.59,127,0.17947159339442464,0.18110236220472442,-0.0016307688102997764,0.03417236261947361,-0.06860859954446805,0.0653470619238685,False
1,255.65,43974.26,126,0.198261506212497,0.1984126984126984,-0.00015119220020140545,0.03552833650219797,-0.06978673174450943,0.06948434734410662,False
2,245.12,44838.58,126,0.17009091700554277,0.16666666666666666,0.0034242503388761114,0.03320079470373316,-0.06164930728044088,0.0684978079581931,False
3,97.03,49546.63,126,0.18135450569053993,0.20634920634920634,-0.024994700658666408,0.036052124014245866,-0.0956568637265883,0.04566746240925548,False
4,262.3,48430.71,126,0.1585379918035969,0.1111111111111111,0.047426880692485796,0.02799736837105387,-0.0074479613147797885,0.10230172269975138,False
5,287.71,47787.48,126,0.19403161967957416,0.19047619047619047,0.0035554292033836976,0.03498242317583109,-0.06501012022124524,0.07212097862801263,False
6,255.96,38129.07,126,0.17524027611352008,0.12698412698412698,0.048256149129393106,0.029662005850867094,-0.009881382338306398,0.10639368059709262,False
7,248.55,45398.81,126,0.1919172515965504,0.15873015873015872,0.03318709286639168,0.03255458120537873,-0.030619886296150617,0.09699407202893398,False
8,250.72,40246.37,126,0.15906290605668078,0.10317460317460317,0.055888302882077606,0.027099113268800667,0.002774040875228298,0.10900256488892691,True
9,353.19,46581.45,126,0.18595048112944312,0.15079365079365079,0.03515683033579234,0.03187960059223489,-0.02732718682498804,0.09764084749657272,False
