key,value,fmt,source_file,source_field,split,data_op
a0_feature_count,12.0,{:d},a0_feature_audit.json,feature_count,val,OP-V
a0_distinct_orderings,13.0,{:d},a0_feature_audit.json,distinct_full_orderings,val,OP-V
a0_val_n,1435.0,"{:,d}",a1_close_wait.json,n_validation,val,OP-V
a0_val_amt_min,97.03,"{:,.2f}",a0_feature_audit.json,val_amount_min,val,OP-V
a0_val_amt_max,279558.65,"{:,.2f}",a0_feature_audit.json,val_amount_max,val,OP-V
a0_ord1_count,554.0,{:d},a0_feature_audit.json,top_orderings[0].count,val,OP-V
a0_ord1_pct,38.606271777003485,{:.1f},a0_feature_audit.json,top_orderings[0].count/n_val,val,OP-V
a0_ord2_count,153.0,{:d},a0_feature_audit.json,top_orderings[1].count,val,OP-V
a0_ord2_pct,10.662020905923345,{:.1f},a0_feature_audit.json,top_orderings[1].count/n_val,val,OP-V
a0_ord3_count,126.0,{:d},a0_feature_audit.json,top_orderings[2].count,val,OP-V
a0_ord3_pct,8.780487804878048,{:.1f},a0_feature_audit.json,top_orderings[2].count/n_val,val,OP-V
a0_ord4_count,117.0,{:d},a0_feature_audit.json,top_orderings[3].count,val,OP-V
a0_ord4_pct,8.153310104529616,{:.1f},a0_feature_audit.json,top_orderings[3].count/n_val,val,OP-V
a0_ord5_count,116.0,{:d},a0_feature_audit.json,top_orderings[4].count,val,OP-V
a0_ord5_pct,8.08362369337979,{:.1f},a0_feature_audit.json,top_orderings[4].count/n_val,val,OP-V
a0_allowed_retry,567.0,"{:,d}",a0_feature_audit.json,allowed_counts.retry,val,OP-V
a0_allowed_payment_link,1261.0,"{:,d}",a0_feature_audit.json,allowed_counts.payment_link,val,OP-V
a0_allowed_reminder,1261.0,"{:,d}",a0_feature_audit.json,allowed_counts.reminder,val,OP-V
a0_allowed_discount,918.0,"{:,d}",a0_feature_audit.json,allowed_counts.discount,val,OP-V
a0_allowed_wait,1435.0,"{:,d}",a0_feature_audit.json,allowed_counts.wait,val,OP-V
a0_allowed_close,1435.0,"{:,d}",a0_feature_audit.json,allowed_counts.close,val,OP-V
a0_selected_retry,260.0,"{:,d}",a0_feature_audit.json,actual_selections.retry,val,OP-V
a0_selected_payment_link,411.0,"{:,d}",a0_feature_audit.json,actual_selections.payment_link,val,OP-V
a0_selected_reminder,35.0,"{:,d}",a0_feature_audit.json,actual_selections.reminder,val,OP-V
