classification,token,line_num,line
unsourced,0.6223,12,"- Pairwise cross-action concordance on validation (OP-V) is **0.6223** (95% CI [0.6071, 0.6376], N = 3,879 discordant-outcome pairs), which is **15.68 standard errors above the 0.50 null (p < 1e-15)**."
unsourced,0.6071,12,"- Pairwise cross-action concordance on validation (OP-V) is **0.6223** (95% CI [0.6071, 0.6376], N = 3,879 discordant-outcome pairs), which is **15.68 standard errors above the 0.50 null (p < 1e-15)**."
unsourced,0.6376,12,"- Pairwise cross-action concordance on validation (OP-V) is **0.6223** (95% CI [0.6071, 0.6376], N = 3,879 discordant-outcome pairs), which is **15.68 standard errors above the 0.50 null (p < 1e-15)**."
unsourced,"3,879",12,"- Pairwise cross-action concordance on validation (OP-V) is **0.6223** (95% CI [0.6071, 0.6376], N = 3,879 discordant-outcome pairs), which is **15.68 standard errors above the 0.50 null (p < 1e-15)**."
unsourced,15.68,12,"- Pairwise cross-action concordance on validation (OP-V) is **0.6223** (95% CI [0.6071, 0.6376], N = 3,879 discordant-outcome pairs), which is **15.68 standard errors above the 0.50 null (p < 1e-15)**."
unsourced,15,12,"- Pairwise cross-action concordance on validation (OP-V) is **0.6223** (95% CI [0.6071, 0.6376], N = 3,879 discordant-outcome pairs), which is **15.68 standard errors above the 0.50 null (p < 1e-15)**."
unsourced,0.6468,13,"- Value-weighted concordance is **0.6468**, proving that ranking quality does not degrade on high-value transactions."
unsourced,23.1,14,"- Decision agreement with the Oracle (B6) is **23.1% for Policy A vs 12.1% for B0** overall (1.91x), expanding to **44.4% for Policy A vs 8.3% for B0** on the top amount decile (5.35x)."
unsourced,12.1,14,"- Decision agreement with the Oracle (B6) is **23.1% for Policy A vs 12.1% for B0** overall (1.91x), expanding to **44.4% for Policy A vs 8.3% for B0** on the top amount decile (5.35x)."
unsourced,44.4,14,"- Decision agreement with the Oracle (B6) is **23.1% for Policy A vs 12.1% for B0** overall (1.91x), expanding to **44.4% for Policy A vs 8.3% for B0** on the top amount decile (5.35x)."
unsourced,8.3,14,"- Decision agreement with the Oracle (B6) is **23.1% for Policy A vs 12.1% for B0** overall (1.91x), expanding to **44.4% for Policy A vs 8.3% for B0** on the top amount decile (5.35x)."
unsourced,"156,669.06",16,"- Shrinkage sweep (P3, OP-V) with allowed-only P_bar targets shows net value is **monotone increasing with lambda** (+₹156,669.06 / +14.5% from lambda=0.0 to lambda=1.0)."
unsourced,"247,410",18,"4. **The -₹247,410 `wait -> close` substitution in M5 reflects heavy-tailed sampling variance on a structurally hard subset (OP-F).**"
unsourced,133.2,20,"- Just **3 close-only recoveries** (Txn 1998, Txn 7703, Txn 196) account for **₹329,675.72 (133.2%)** of the -₹247,410 gap."
