transaction_id,failure_type,amount,risk_score,attempt_number,contact_fatigue_score,segment,action,source,fallback_used,recovered,recovered_amount,intervention_cost,discount_amount,net_recovered_amount,escalation_required,terminal,policy
2,card_expired,1368.15,0.1233,1,0.0,b2c_new,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
3,network_timeout,1202.42,0.1409,1,0.0,b2c_returning,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
11,temporary_bank_decline,1736.77,0.2971,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
14,network_timeout,23528.05,0.1858,1,0.0,b2b,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
15,customer_abandoned,383.41,0.1914,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
26,customer_abandoned,1650.53,0.2851,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
27,customer_abandoned,735.02,0.3418,1,0.0,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
29,temporary_bank_decline,842.86,0.3418,1,0.0,b2c_new,discount,highest_expected_net_value,False,True,758.5740000000001,0.0,84.286,758.5740000000001,False,False,policy_a
31,temporary_bank_decline,2420.34,0.1492,3,0.6,b2c_returning,discount,highest_expected_net_value,False,True,2178.306,0.0,242.03400000000002,2178.306,False,False,policy_a
47,temporary_bank_decline,2170.8,0.2431,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
48,temporary_bank_decline,3180.43,0.1047,1,0.0,b2c_returning,retry,highest_expected_net_value,False,True,3180.43,2.0,0.0,3178.43,False,False,policy_a
53,temporary_bank_decline,8231.29,0.2403,2,0.3,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
54,customer_abandoned,1313.36,0.0857,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
65,insufficient_funds,3512.67,0.2969,1,0.0,b2c_new,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
73,network_timeout,696.67,0.1702,1,0.0,b2c_returning,retry,highest_expected_net_value,False,True,696.67,2.0,0.0,694.67,False,False,policy_a
82,network_timeout,1273.58,0.2192,1,0.0,b2c_returning,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
85,card_expired,21215.41,0.2066,1,0.0,b2b,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
89,risk_block,542.08,0.281,1,0.0,b2c_returning,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
94,temporary_bank_decline,5866.51,0.1889,2,0.3,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
102,temporary_bank_decline,2694.69,0.0361,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
105,temporary_bank_decline,1029.44,0.3175,1,0.0,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
108,insufficient_funds,1140.19,0.1574,1,0.0,b2c_returning,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
119,network_timeout,1778.61,0.147,1,0.0,b2c_new,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
120,customer_abandoned,2118.42,0.0557,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
150,temporary_bank_decline,377.03,0.1633,1,0.0,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
152,card_expired,1213.4,0.1845,1,0.0,b2c_new,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
164,temporary_bank_decline,3355.05,0.0557,1,0.0,b2c_returning,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
168,temporary_bank_decline,2005.69,0.1595,2,0.3,b2c_returning,discount,highest_expected_net_value,False,True,1805.121,0.0,200.56900000000002,1805.121,False,False,policy_a
169,temporary_bank_decline,1438.2,0.2745,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
170,customer_abandoned,7211.24,0.1776,1,0.0,b2c_new,discount,highest_expected_net_value,False,True,6490.116,0.0,721.124,6490.116,False,False,policy_a
177,card_expired,1394.22,0.0746,1,0.0,b2c_new,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
182,customer_abandoned,633.99,0.2914,2,0.3,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
190,network_timeout,1584.82,0.2339,1,0.0,b2c_new,retry,highest_expected_net_value,False,True,1584.82,2.0,0.0,1582.82,False,False,policy_a
196,temporary_bank_decline,75685.61,0.1708,2,0.3,b2b,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,True,False,policy_a
197,network_timeout,320.62,0.2435,2,0.3,b2c_returning,payment_link,highest_expected_net_value,False,True,320.62,5.0,0.0,315.62,False,False,policy_a
202,network_timeout,796.01,0.2779,1,0.0,b2c_new,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
205,temporary_bank_decline,5223.79,0.177,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
206,customer_abandoned,579.28,0.336,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
207,temporary_bank_decline,4767.73,0.2108,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
211,network_timeout,1567.15,0.2724,1,0.0,b2c_new,retry,highest_expected_net_value,False,True,1567.15,2.0,0.0,1565.15,False,False,policy_a
219,temporary_bank_decline,4013.76,0.0379,2,0.3,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
232,network_timeout,640.66,0.2724,2,0.3,b2c_new,payment_link,highest_expected_net_value,False,True,640.66,5.0,0.0,635.66,False,False,policy_a
240,risk_block,4927.81,0.183,1,0.0,b2c_returning,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
242,temporary_bank_decline,1288.58,0.1702,1,0.0,b2c_returning,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
250,network_timeout,1137.53,0.1464,1,0.0,b2c_new,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
256,temporary_bank_decline,4394.97,0.158,2,0.3,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
257,network_timeout,2209.79,0.2431,1,0.0,b2c_returning,retry,highest_expected_net_value,False,True,2209.79,2.0,0.0,2207.79,False,False,policy_a
261,risk_block,405.48,0.0217,1,0.0,b2c_new,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
269,risk_block,840.78,0.2153,1,0.0,b2c_new,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
275,customer_abandoned,1305.96,0.0411,3,0.6,b2c_new,discount,highest_expected_net_value,False,True,1175.364,0.0,130.596,1175.364,False,False,policy_a
278,insufficient_funds,34470.98,0.1684,1,0.0,b2b,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
282,customer_abandoned,2648.36,0.1771,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
286,network_timeout,67740.76,0.2269,1,0.0,b2b,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,True,False,policy_a
287,temporary_bank_decline,4799.96,0.2284,1,0.0,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
288,risk_block,10683.21,0.1128,2,0.3,b2c_returning,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
293,temporary_bank_decline,2331.78,0.1414,1,0.0,b2c_returning,retry,highest_expected_net_value,False,True,2331.78,2.0,0.0,2329.78,False,False,policy_a
294,temporary_bank_decline,2036.03,0.1926,1,0.0,b2c_new,discount,highest_expected_net_value,False,True,1832.427,0.0,203.603,1832.427,False,False,policy_a
298,temporary_bank_decline,2752.31,0.3554,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
300,temporary_bank_decline,45226.26,0.1684,1,0.0,b2b,reminder,highest_expected_net_value,False,False,0.0,3.0,0.0,-3.0,False,False,policy_a
301,network_timeout,2803.68,0.1494,1,0.0,b2c_new,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
307,customer_abandoned,2794.85,0.2463,1,0.0,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
312,customer_abandoned,2827.49,0.1758,1,0.0,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
319,temporary_bank_decline,912.45,0.0834,1,0.0,b2c_returning,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
322,temporary_bank_decline,36349.13,0.1104,2,0.3,b2b,reminder,highest_expected_net_value,False,True,36349.13,3.0,0.0,36346.13,False,False,policy_a
332,temporary_bank_decline,942.05,0.052,1,0.0,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
347,insufficient_funds,2275.29,0.1767,1,0.0,b2c_returning,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
357,risk_block,702.75,0.1961,1,0.0,b2c_new,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
381,temporary_bank_decline,2495.49,0.2776,1,0.0,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
395,temporary_bank_decline,3928.65,0.1959,1,0.0,b2c_returning,discount,highest_expected_net_value,False,True,3535.785,0.0,392.865,3535.785,False,False,policy_a
399,temporary_bank_decline,3669.17,0.239,3,0.6,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
402,subscription_mandate_fail,541.09,0.5259,2,0.3,b2c_returning,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
404,temporary_bank_decline,1525.25,0.2096,1,0.0,b2c_new,discount,highest_expected_net_value,False,True,1372.725,0.0,152.525,1372.725,False,False,policy_a
410,card_expired,6520.08,0.0465,1,0.0,b2c_new,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
419,card_expired,85940.55,0.335,1,0.0,b2b,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,True,False,policy_a
425,temporary_bank_decline,728.03,0.1339,1,0.0,b2c_returning,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
435,subscription_mandate_fail,4521.48,0.4916,2,0.3,b2c_returning,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
440,temporary_bank_decline,425.76,0.0744,2,0.3,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
445,card_expired,537.22,0.2977,2,0.3,b2c_returning,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
446,customer_abandoned,1631.45,0.2642,2,0.3,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
447,temporary_bank_decline,4719.5,0.0776,1,0.0,b2c_returning,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
458,temporary_bank_decline,1053.33,0.3259,1,0.0,b2c_new,discount,highest_expected_net_value,False,True,947.997,0.0,105.333,947.997,False,False,policy_a
467,card_expired,2410.92,0.0358,1,0.0,b2c_new,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
471,customer_abandoned,2115.17,0.1027,2,0.3,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
472,temporary_bank_decline,3905.35,0.0379,1,0.0,b2c_new,discount,highest_expected_net_value,False,True,3514.815,0.0,390.535,3514.815,False,False,policy_a
477,temporary_bank_decline,3278.23,0.3807,1,0.0,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
485,temporary_bank_decline,3336.05,0.2475,1,0.0,b2c_returning,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
488,subscription_mandate_fail,4846.82,0.0471,1,0.0,b2c_new,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
492,temporary_bank_decline,830.84,0.1922,2,0.3,b2c_new,discount,highest_expected_net_value,False,True,747.7560000000001,0.0,83.084,747.7560000000001,False,False,policy_a
499,subscription_mandate_fail,72258.85,0.3404,1,0.0,b2b,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,True,False,policy_a
508,temporary_bank_decline,2088.55,0.2009,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
522,temporary_bank_decline,167852.09,0.1766,2,0.3,b2b,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,True,False,policy_a
524,risk_block,127029.45,0.1393,1,0.0,b2b,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,True,False,policy_a
531,temporary_bank_decline,6809.74,0.0579,1,0.0,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
541,temporary_bank_decline,1042.95,0.275,1,0.0,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
550,customer_abandoned,1412.03,0.0557,1,0.0,b2c_returning,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
551,temporary_bank_decline,1635.08,0.1999,1,0.0,b2c_new,discount,highest_expected_net_value,False,True,1471.572,0.0,163.508,1471.572,False,False,policy_a
560,temporary_bank_decline,5745.69,0.1584,1,0.0,b2c_new,discount,highest_expected_net_value,False,True,5171.120999999999,0.0,574.569,5171.120999999999,False,False,policy_a
569,insufficient_funds,1130.35,0.3259,2,0.3,b2c_new,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
580,risk_block,1217.36,0.0704,1,0.0,b2c_new,wait,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
583,card_expired,1145.17,0.2232,2,0.3,b2c_returning,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
590,card_expired,1409.92,0.3003,1,0.0,b2c_returning,payment_link,highest_expected_net_value,False,False,0.0,5.0,0.0,-5.0,False,False,policy_a
592,temporary_bank_decline,1301.27,0.281,1,0.0,b2c_returning,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
594,network_timeout,6383.53,0.4917,1,0.0,b2c_new,retry,highest_expected_net_value,False,False,0.0,2.0,0.0,-2.0,False,False,policy_a
598,temporary_bank_decline,3160.13,0.1886,1,0.0,b2c_returning,retry,highest_expected_net_value,False,True,3160.13,2.0,0.0,3158.13,False,False,policy_a
607,temporary_bank_decline,1739.72,0.0249,1,0.0,b2c_new,discount,highest_expected_net_value,False,False,0.0,0.0,0.0,0.0,False,False,policy_a
