transaction_id,customer_id,segment,customer_age_days,lifetime_successful_txns,lifetime_failed_txns,risk_score,preferred_channel,amount,failure_type,payment_method,attempt_number,is_subscription,timestamp,contact_fatigue_score,event_type
2131,1187,b2c_new,162,4,0,0.0995,email,2670.21,temporary_bank_decline,netbanking,2,False,2026-05-01 00:00:00,0.3,repeated_payment_failure
9212,1080,b2c_new,25,3,1,0.2065,sms,5087.76,subscription_mandate_fail,upi,3,True,2026-05-01 00:34:00,0.6,subscription_mandate_failure
9338,2010,b2c_returning,196,3,2,0.1072,sms,1382.58,risk_block,netbanking,2,False,2026-05-01 00:35:00,0.3,temporary_payment_failure
7543,805,b2c_new,3418,52,24,0.1001,email,991.65,customer_abandoned,wallet,1,False,2026-05-01 00:43:00,0.0,checkout_abandonment
5705,753,b2c_new,467,6,0,0.1835,sms,2830.33,network_timeout,card,2,False,2026-05-01 00:47:00,0.3,repeated_payment_failure
274,1237,b2c_new,205,6,2,0.3101,sms,2359.49,temporary_bank_decline,card,1,False,2026-05-01 01:05:00,0.0,temporary_payment_failure
6658,1016,b2c_new,252,6,1,0.3403,none,1954.76,temporary_bank_decline,netbanking,1,False,2026-05-01 01:13:00,0.0,temporary_payment_failure
8038,2255,b2b,184,7,0,0.2452,sms,29423.57,customer_abandoned,card,1,False,2026-05-01 02:14:00,0.0,checkout_abandonment
7402,2462,b2c_returning,510,8,3,0.1128,email,1185.85,temporary_bank_decline,card,3,False,2026-05-01 02:32:00,0.6,repeated_payment_failure
8959,259,b2c_new,70,1,1,0.0434,sms,1567.32,card_expired,upi,1,False,2026-05-01 02:37:00,0.0,temporary_payment_failure
4775,1408,b2c_new,100,2,0,0.1432,none,5603.66,card_expired,card,1,False,2026-05-01 02:43:00,0.0,temporary_payment_failure
254,1070,b2c_new,69,1,0,0.2035,sms,2212.53,temporary_bank_decline,wallet,1,False,2026-05-01 03:35:00,0.0,temporary_payment_failure
6084,1421,b2c_returning,530,11,4,0.2904,email,1895.99,temporary_bank_decline,card,2,False,2026-05-01 04:08:00,0.3,repeated_payment_failure
6978,3317,b2c_returning,307,8,6,0.3018,whatsapp,1865.73,subscription_mandate_fail,upi,1,True,2026-05-01 04:34:00,0.0,subscription_mandate_failure
1657,2121,b2c_new,299,9,4,0.2122,whatsapp,356.06,temporary_bank_decline,wallet,1,False,2026-05-01 04:44:00,0.0,temporary_payment_failure
386,1710,b2c_new,619,9,3,0.0983,email,3758.2,customer_abandoned,wallet,1,False,2026-05-01 04:44:00,0.0,checkout_abandonment
9826,3277,b2c_new,114,6,2,0.1568,sms,4336.7,network_timeout,wallet,3,False,2026-05-01 04:46:00,0.6,repeated_payment_failure
4868,3162,b2b,279,7,3,0.1772,whatsapp,45579.78,temporary_bank_decline,upi,1,False,2026-05-01 04:59:00,0.0,temporary_payment_failure
9536,1331,b2c_returning,69,1,1,0.0697,none,654.56,network_timeout,card,1,True,2026-05-01 05:05:00,0.0,temporary_payment_failure
5820,181,b2c_returning,36,0,0,0.2918,sms,2168.75,temporary_bank_decline,card,1,False,2026-05-01 05:16:00,0.0,temporary_payment_failure
4549,2483,b2c_new,188,5,0,0.0178,sms,1298.23,customer_abandoned,upi,1,True,2026-05-01 05:20:00,0.0,checkout_abandonment
6247,866,b2b,118,0,0,0.1815,email,15374.26,temporary_bank_decline,card,1,False,2026-05-01 05:43:00,0.0,temporary_payment_failure
9729,2295,b2c_new,254,2,0,0.0924,email,1452.72,card_expired,card,1,False,2026-05-01 05:56:00,0.0,temporary_payment_failure
4437,2348,b2c_returning,202,5,2,0.1652,whatsapp,2816.28,card_expired,card,3,False,2026-05-01 06:01:00,0.6,temporary_payment_failure
6616,689,b2c_returning,20,1,0,0.2861,none,696.68,risk_block,upi,2,False,2026-05-01 06:18:00,0.3,temporary_payment_failure
1762,3314,b2c_returning,164,1,0,0.0122,email,4137.58,network_timeout,netbanking,2,True,2026-05-01 06:19:00,0.3,repeated_payment_failure
